Source,Target,Collaborations,Weight,Publication Type,Publication Name,Publication Date,Title,Co-authors,Keywords
engs0475,ndog0115,2,0.4,Journal article|Journal article,Transplant International|Transplant International,01/11/2015|01/11/2015,DETERIORATION OF MITOCHONDRIAL FUNCTION IS THE KEY MECHANISM RESPONSIBLE FOR HEPATIC INJURY IN DCD LIVERS|NORMOTHERMIC REGIONAL PERFUSION RESUSCITATES DCD LIVERS BY MITOCHONDRIAL PROTECTION,"Nasralla D,Roy D,Morten K,Morovat R,Coussios C,Friend P|Roy D,Jamieson R,Morten K,Morovat A,Coussios C,Friend P",|
clme0497,raob0096,1,0.25,Journal article,Protein Expression and Purification,01/10/2011,Analysis of conditions affecting auto-phosphorylation of human kinases during expression in bacteria.,"Shrestha A,Hamilton G,O'Neill E,Knapp S,Elkins JM","Cloning,Molecular,Electrophoresis,Polyacrylamide Gel,Escherichia coli,Humans,Mass Spectrometry,Models,Phosphorylation,Protein Structure,Tertiary,Protein-Serine-Threonine Kinases,Recombinant Proteins"
path0089,whgu0172,1,0.2,Journal article,Scientific Reports,15/04/2016,Integrative Phosphoproteomics Links IL-23R Signaling with Metabolic Adaptation in Lymphocytes.,"Lochmatter C,Fischer R,Charles PD,Yu Z,Powrie F,Kessler BM",
immd0330,robbins,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
clne0102,radi0003,3,0.4523809523809524,Journal article|Journal article|Journal article,Lecture Notes in Computer Science|Medical Image Analysis|Med Image Comput Comput Assist Interv,01/01/2013|01/01/2012|01/01/2013,The impact of heterogeneity and uncertainty on prediction of response to therapy using dynamic MRI data|MIND: Modality independent neighbourhood descriptor for multi-modal deformable registration|The impact of heterogeneity and uncertainty on prediction of response to therapy using dynamic MRI data.,"Bhushan M,Schnabel JA,Chappell M,Gleeson F,Anderson M,Franklin J,Brady M,Jenkinson M|Heinrich MP,Jenkinson M,Bhushan M,Matin T,Gleeson FV,Brady SM,Schnabel JA|Bhushan M,Schnabel JA,Chappell M,Gleeson F,Anderson M,Franklin J,Brady SM,Jenkinson M","||Algorithms,Colorectal Neoplasms,Computer Simulation,Contrast Media,Data Interpretation,Statistical,Humans,Image Enhancement,Image Interpretation,Computer-Assisted,Meglumine,Models,Biological,Organometallic Compounds,Outcome Assessment (Health Care),Prognosis,Reproducibility of Results,Sensitivity and Specificity,Treatment Outcome"
immd0031,path0041,1,0.0625,Journal article,Journal of Biological Chemistry,21/01/2013,Molecular basis for Jagged-1/Serrate ligand recognition by the Notch receptor.,"Whiteman P,de Madrid BH,Taylor P,Li D,Heslop R,Viticheep N,Tan JZ,Shimizu H,Callaghan J,Masiero M,Li JL,Banham AH,Harris AL,Lea SM,Redfield C,Baron M,Handford PA","Amino Acid Sequence,Animals,Antibodies,Monoclonal,Blotting,Western,Calcium-Binding Proteins,Cell Line,Tumor,Drosophila Proteins,Flow Cytometry,HEK293 Cells,Humans,Intercellular Signaling Peptides and Proteins,Ligands,Membrane Proteins,Mice,Models,Molecular,Molecular Sequence Data,Mutation,Protein Binding,Protein Structure,Secondary,Tertiary,Receptor,Notch1,Receptors,Notch,Sequence Homology,Amino Acid"
ctsu0385,gree0184,1,0.125,Conference paper,European Heart Journal,01/08/2015,"Prevalence, treatment and control of hypertension in middle-aged Mexican adults","Gnatiuc L,Alegre-Diaz J,Herrington W,Lopez Cervantes M,Peto R,Collins R,Tapia-Conyer R,Emberson J,Kuri-Morales P",
clme0485,clme1358,4,0.13287918252855138,Journal article|Journal article|Journal article|Journal article,Journal of Medicinal Chemistry|Nature Chemical Biology|Journal of Medicinal Chemistry|Chemical Science,07/01/2016|23/05/2016|25/06/2012|01/08/2013,"8-Substituted Pyrido[3,4-d]pyrimidin-4(3H)-one Derivatives As Potent, Cell Permeable, KDM4 (JMJD2) and KDM5 (JARID1) Histone Lysine Demethylase Inhibitors.|Structural analysis of human KDM5B guides histone demethylase inhibitor development.|Plant growth regulator daminozide is a selective inhibitor of human KDM2/7 histone demethylases.|5-Carboxy-8-hydroxyquinoline is a broad spectrum 2-oxoglutarate oxygenase inhibitor which causes iron translocation","Bavetsias V,Lanigan RM,Ruda GF,Atrash B,McLaughlin MG,Tumber A,Mok NY,Le Bihan YV,Dempster S,Boxall KJ,Jeganathan F,Hatch SB,Savitsky P,Velupillai S,Krojer T,England KS,Sejberg J,Thai C,Donovan A,Pal A,Scozzafava G,Bennett JM,Kawamura A,Johansson C,Szykowska A,Gileadi C,Burgess-Brown NA,von Delft F,Oppermann U,Walters Z,Shipley J,Raynaud FI,Westaway SM,Prinjha RK,Fedorov O,Burke R,Schofield CJ,Westwood IM,Bountra C,Müller S,van Montfort RL,Brennan PE,Blagg J|Johansson C,Velupillai S,Tumber A,Szykowska A,Hookway ES,Nowak RP,Strain-Damerell C,Gileadi C,Philpott M,Burgess-Brown N,Wu N,Kopec J,Nuzzi A,Steuber H,Egner U,Badock V,Munro S,LaThangue NB,Westaway S,Brown J,Athanasou N,Prinjha R,Brennan PE,Oppermann U|Rose NR,Woon EC,Tumber A,Walport LJ,Chowdhury R,Li XS,King ON,Lejeune C,Ng SS,Krojer T,Chan MC,Rydzik AM,Hopkinson RJ,Che KH,Daniel M,Strain-Damerell C,Gileadi C,Kochan G,Leung IK,Dunford J,Yeoh KK,Ratcliffe PJ,Burgess-Brown N,von Delft F,Muller S,Marsden B,Brennan PE,McDonough MA,Oppermann U,Klose RJ,Schofield CJ,Kawamura A|Hopkinson RJ,Tumber A,Yapp C,Chowdhury R,Aik W,Che KH,Li XS,Kristensen JBL,King ONF,Chan MC,Yeoh KK,Choi H,Walport LJ,Thinnes CC,Bush JT,Lejeune C,Rydzik AM,Rose NR,Bagg EA,McDonough MA,Krojer TJ,Yue WW,Ng SS,Olsen L,Brennan PE,Oppermann U,Müller S,Klose RJ,Ratcliffe PJ,Schofield CJ,Kawamura A","||Enzyme Inhibitors,Humans,Inhibitory Concentration 50,Jumonji Domain-Containing Histone Demethylases,Models,Molecular,Plant Growth Regulators,Protein Conformation,Substrate Specificity,Succinates|"
clme0670,raob0128,1,0.125,Journal article,Journal of Nuclear Medicine,07/10/2011,"Micro-CT for anatomic referencing in PET and SPECT: radiation dose, biologic damage, and image quality.","Kersemans V,Thompson J,Cornelissen B,Woodcock M,Allen PD,Buls N,Muschel RJ,Hill MA,Smart SC","Animals,DNA Breaks,Double-Stranded,Histones,Jejunum,Liver,Mice,Positron-Emission Tomography,Quality Control,Radiation Dosage,Radiation Injuries,Experimental,Reference Standards,Time Factors,Tomography,Emission-Computed,Single-Photon,X-Ray Microtomography"
immd0100,whgu0172,3,0.25384615384615383,Journal article|Journal article|Journal article,Arthritis and Rheumatism|European Journal of Immunology|PLoS Pathogens,01/11/2013|24/06/2015|01/05/2011,Endoplasmic reticulum aminopeptidase 1 (ERAP1) plays a critical role in determining the length and sequence of peptides bound and presented by HLA-B27|The presence of prolines in the flanking region of an immunodominant HIV-2 gag epitope influences the quality and quantity of the epitope generated.|The Antiviral Efficacy of HIV-Specific CD8+ T-Cells to a Conserved Epitope is Heavilydependent on the Infecting HIV-1 Isolate,"Chen L,Fischer R,Peng Y,Reeves E,McHugh K,Ternette N,Hanke T,Dong T,Elliott T,Shastri N,Kollnberger S,James E,Kessler B,Bowness P|Jallow S,Leligdowicz A,Kramer HB,Onyango C,Cotten M,Wright C,Whittle HC,McMichael A,Dong T,Kessler BM,Rowland-Jones SL|Ranasinghe SRF,Kramer HB,Wright C,Kessler BM,di Gleria K,Zhang Y,Gillespie GM,Blais ME,Culshaw A,Pichulik T,Simmons A,Rowland-Jones SL,McMichael AJ,Dong T","|T-Lymphocytes,Humans,HIV-2,HIV Infections,Epitopes,T-Lymphocyte,Viral Load,Immunity,Cellular,Amino Acid Motifs,Female,Male,gag Gene Products,Human Immunodeficiency Virus|"
clme0301,ndos0168,2,0.12454212454212454,Journal article|Journal article,Journal of Bone and Mineral Research|PLoS One,25/10/2011|01/01/2012,A mouse model for spondyloepiphyseal dysplasia congenita with secondary osteoarthritis due to a Col2a1 mutation.|A mouse with an N-Ethyl-N-nitrosourea (ENU) Induced Trp589Arg Galnt3 mutation represents a model for hyperphosphataemic familial tumoural calcinosis.,"Esapa CT,Hough TA,Testori S,Head RA,Crane EA,Chan CP,Evans H,Bassett JH,Tylzanowski P,McNally EG,Carr AJ,Boyde A,Howell PG,Clark A,Williams GR,Brown MA,Croucher PI,Nesbit MA,Brown SD,Cox RD,Cheeseman MT,Thakker RV|Esapa CT,Head RA,Jeyabalan J,Evans H,Hough TA,Cheeseman MT,McNally EG,Carr AJ,Thomas GP,Brown MA,Croucher PI,Brown SD,Cox RD,Thakker RV","Amino Acid Sequence,Animals,Base Sequence,Chondrocytes,Chromosomes,Mammalian,Collagen Type II,Disease Models,Animal,Embryo,Genetic Loci,Growth Plate,Male,Mice,Inbred C57BL,Molecular Sequence Data,Mutant Proteins,Mutation,Missense,Organ Size,Osteoarthritis,Osteochondrodysplasias,Osteogenesis,Phenotype,Physical Chromosome Mapping,Protein Processing,Post-Translational|Animals,Apoptosis,Blotting,Western,Bone and Bones,COS Cells,Calcinosis,Cercopithecus aethiops,Disease Models,Animal,Ethylnitrosourea,Fibroblast Growth Factors,Genes,Recessive,Green Fluorescent Proteins,Hyperostosis,Cortical,Congenital,Hyperphosphatemia,Male,Mice,Mutation,Missense,N-Acetylgalactosaminyltransferases,Reverse Transcriptase Polymerase Chain Reaction,Sertoli Cells,Spermatozoa,Testis"
ndos0168,ndos0168,1,0.3333333333333333,Journal article,Journal of Bone and Joint Surgery: American Volume,,An Independent Learning Method for OrthopaedicSurgeons Performing Shoulder Ultrasound toIdentify Full-Thickness Tears of the Rotator Cuff,"Murphy RJ,Daines MT,Carr AJ,Rees JL",
clme0832,ndos0168,1,0.1111111111111111,Journal article,BMJ,21/05/2014,Use of placebo controls in the evaluation of surgery: systematic review.,"Wartolowska K,Judge A,Hopewell S,Collins GS,Dean BJ,Rombach I,Brindley D,Savulescu J,Beard DJ,Carr AJ","Humans,Placebos,Surgical Procedures,Operative,Randomized Controlled Trials as Topic"
clme1136,donc0136,1,0.06666666666666667,Journal article,The EMBO Journal,27/05/2016,SCF (Fbxl17) ubiquitylation of Sufu regulates Hedgehog signaling and medulloblastoma development.,"Raducu M,Fung E,Serres S,Infante P,Barberis A,Fischer R,Bristow C,Thézénas ML,Finta C,Christianson JC,Buffa FM,Kessler BM,Sibson NR,Di Marcotullio L,Toftgård R,D'Angiolella V",
clme0494,wolf1917,9,1.1702380952380953,Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article,Antimicrobial Agents and Chemotherapy|Nucleic Acids Research|Nucleic Acids Research|Journal of Biological Chemistry|Nature Cell Biology|Genes and Development|Nucleic Acids Research|Chemical Communications|Chemistry and Biology,19/10/2015|17/11/2015|10/12/2014|11/06/2012|25/01/2016|01/01/2011|01/09/2015|01/01/2016|24/01/2013,Structural Basis of Metallo-β-Lactamase Inhibition by Captopril Stereoisomers.|The structures of the SNM1A and SNM1B/Apollo nuclease domains reveal a potential basis for their distinct DNA processing activities.|CSB interacts with SNM1A and promotes DNA interstrand crosslink processing.|Characterization of the human SNM1A and SNM1B/Apollo DNA repair exonucleases.|EXD2 promotes homologous recombination by facilitating DNA end resection.|Human SNM1a and XPF-ERCC1 collaborate to initiate DNA interstrand cross-link repair|CSB interacts with SNM1A and promotes DNA interstrand crosslink processing|Cephalosporins inhibit human metallo β-lactamase fold DNA repair nucleases SNM1A and SNM1B/apollo.|A small molecule inhibitor of the BLM helicase modulates chromosome stability in human cells.,"Brem J,van Berkel SS,Zollman D,Lee SY,Gileadi O,McHugh PJ,Walsh TR,McDonough MA,Schofield CJ|Allerston CK,Lee SY,Newman JA,Schofield CJ,McHugh PJ,Gileadi O|Iyama T,Lee SY,Berquist BR,Gileadi O,Bohr VA,Seidman MM,McHugh PJ,Wilson DM|Sengerová B,Allerston CK,Abu M,Lee SY,Hartley J,Kiakos K,Schofield CJ,Hartley JA,Gileadi O,McHugh PJ|Broderick R,Nieminuszczy J,Baddock HT,Deshpande RA,Gileadi O,Paull TT,McHugh PJ,Niedzwiedz W|Wang AT,Sengerová B,Cattell E,Inagawa T,Hartley JM,Kiakos K,Burgess-Brown NA,Swift LP,Enzlin JH,Schofield CJ,Gileadi O,Hartley JA,McHugh PJ|Iyama T,Lee SY,Berquist BR,Gileadi O,Bohr VA,Seidman MM,McHugh PJ,Wilson DM|Lee SY,Brem J,Pettinati I,Claridge TD,Gileadi O,Schofield CJ,McHugh PJ|Nguyen GH,Dexheimer TS,Rosenthal AS,Chu WK,Singh DK,Mosedale G,Bachrati CZ,Schultz L,Sakurai M,Savitsky P,Abu M,McHugh PJ,Bohr VA,Harris CC,Jadhav A,Gileadi O,Maloney DJ,Simeonov A,Hickson ID","|Humans,DNA Damage,DNA Repair Enzymes,Exodeoxyribonucleases,Nuclear Proteins,DNA,Catalytic Domain,Protein Structure,Tertiary,Protein Binding,Models,Molecular|Cell Line,Hela Cells,Humans,DNA Damage,DNA Repair Enzymes,Exonucleases,DNA Helicases,DNA-Binding Proteins,DNA,Cross-Linking Reagents,DNA Repair|Chelating Agents,DNA,DNA Cleavage,DNA Damage,DNA Repair Enzymes,Single-Stranded,DNA-Binding Proteins,Enzyme Assays,Enzyme Inhibitors,Escherichia coli,Fluorescein,Fluorescent Dyes,Humans,Hydrogen-Ion Concentration,Hydrolysis,Magnesium,Nuclear Proteins,Plasmids,Protein Binding,RNA,Recombinant Proteins,Substrate Specificity|||||Antineoplastic Agents,Cell Line,Cell Proliferation,Chromosomal Instability,DNA,Enzyme Inhibitors,High-Throughput Screening Assays,Humans,Protein Binding,RecQ Helicases,Small Molecule Libraries"
clme0240,stat0004,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
cschof,immd0031,1,0.125,Journal article,PLoS One,01/01/2014,Proline-hydroxylated hypoxia-inducible factor 1α (HIF-1α) upregulation in human tumours.,"Snell CE,Turley H,McIntyre A,Li D,Masiero M,Schofield CJ,Gatter KC,Harris AL,Pezzella F","Animals,Binding Sites,Breast Neoplasms,Cell Line,Tumor,Female,Gene Expression Regulation,Neoplastic,Humans,Hydroxylation,Hypoxia-Inducible Factor 1,alpha Subunit,Kaplan-Meier Estimate,MCF-7 Cells,Mice,Inbred BALB C,Neoplasm Transplantation,Neoplasms,Procollagen-Proline Dioxygenase,Prognosis,Proline,Up-Regulation"
bras2068,clme0670,1,0.16666666666666666,Journal article,Journal of the Royal Society Interface,,Estimating oxygen distribution from vasculature in three-dimensional tumour tissue.,"Grimes DR,Kannan P,Warren DR,Markelc B,Bates R,Muschel R,Partridge M",
clme0149,whgu0378,2,0.125,Journal article|Conference paper,Clinical Cancer Research|European Journal of Cancer,01/07/2015|01/09/2015,POLE Proofreading Mutations Elicit an Antitumor Immune Response in Endometrial Cancer.|POLE proofreading mutations elicit an anti-tumor immune response in endometrial cancer,"van Gool IC,Eggink FA,Freeman-Mills L,Stelloo E,Marchi E,de Bruyn M,Palles C,Nout RA,de Kroon CD,Osse EM,Klenerman P,Creutzberg CL,Tomlinson IP,Smit VT,Nijman HW,Bosse T,Church DN|Van Gool I,Eggink F,Freeman-Mills L,Stelloo E,Marchi E,Palles C,De Bruyn M,Nout R,De Kroon C,Osse M,Klenerman P,Creutzberg C,Tomlinson I,Smit V,Nijman H,Bosse T,Church D","Lymphocytes,Tumor-Infiltrating,Humans,Endometrial Neoplasms,DNA Polymerase II,Fluorescent Antibody Technique,Immunohistochemistry,Cohort Studies,Polymerase Chain Reaction,DNA Mutational Analysis,Mutation,Female|"
clme0195,immd0654,1,0.05263157894736842,Journal article,Molecular Cell,18/01/2012,Intragenic enhancers act as alternative promoters.,"Kowalczyk MS,Hughes JR,Garrick D,Lynch MD,Sharpe JA,Sloane-Stanley JA,McGowan SJ,De Gobbi M,Hosseini M,Vernimmen D,Brown JM,Gray NE,Collavin L,Gibbons RJ,Flint J,Taylor S,Buckle VJ,Milne TA,Wood WG,Higgs DR","Animals,Cells,Cultured,Enhancer Elements,Genetic,Erythroid Cells,Gene Expression Regulation,Mice,Poly A,Promoter Regions,RNA,RNA Isoforms,Messenger,Transcriptome"
clme0237,immd0180,1,0.04,Journal article,Journal of Pathology,01/01/2011,Aberrant succination of proteins in fumarate hydratase-deficient mice and HLRCC patients is a robust biomarker of mutation status,"Bardella C,El-Bahrawy M,Frizzell N,Adam J,Ternette N,Hatipoglu E,Howarth K,O'Flaherty L,Roberts I,Turner G,Taylor J,Giaslakiotis K,Macaulay VM,Harris AL,Chandra A,Lehtonen HJ,Launonen V,Aaltonen LA,Pugh CW,Mihai R,Trudgian D,Kessler B,Baynes JW,Ratcliffe PJ,Tomlinson IP,Pollard PJ","Adult,Aged,Animals,Biomarkers,Tumor,Carcinoma,Renal Cell,Disease Models,Animal,Female,Fumarate Hydratase,Genetic Predisposition to Disease,Germ-Line Mutation,Humans,Kidney Neoplasms,Leiomyomatosis,Loss of Heterozygosity,Male,Mice,Knockout,Transgenic,Middle Aged,Neoplastic Syndromes,Hereditary,Prospective Studies,Sensitivity and Specificity,Succinic Acid"
clne0013,clne0102,15,1.9883089133089131,Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article|Journal article,Neuroimage|Lecture Notes in Computer Science|Neuroimage|Biological Psychiatry|Trends in Cognitive Sciences|Proceedings of the National Academy of Sciences of USA|Neuroimage|Proceedings of the National Academy of Sciences of USA|Neuroimage|Neuroimage|Trends in Cognitive Sciences|Proceedings of the National Academy of Sciences of USA|BMC Psychiatry|Neuroimage|Neuroimage,18/04/2014|01/01/2013|01/01/2012|01/09/2013|01/01/2013|01/01/2012|02/06/2014|07/02/2012|01/01/2014|01/01/2011|01/12/2013|07/02/2012|30/05/2014|15/01/2015|01/01/2011,"Optimizing full-brain coverage in human brain MRI through population distributions of brain size.|Multimodal surface matching: Fast and generalisable cortical registration using discrete optimisation|FSL|Resting functional connectivity reveals residual functional activity in Alzheimer's disease|Functional connectomics from resting-state fMRI|Temporally-independent functional modes of spontaneous brain activity|MSM: a new flexible framework for Multimodal Surface Matching.|Temporally-independent functional modes of spontaneous brain activity.|Optimizing full-brain coverage in human brain MRI through population distributions of brain size|A Bayesian model of shape and appearance for subcortical brain segmentation|Functional connectomics from resting-state fMRI|Temporally-independent functional modes of spontaneous brain activity|Study protocol: The Whitehall II imaging sub-study.|Large-scale probabilistic functional modes from resting state fMRI.|Diffusion imaging of whole, post-mortem human brains on a clinical MRI scanner","Mennes M,Jenkinson M,Valabregue R,Buitelaar JK,Beckmann C,Smith S|Robinson EC,Jbabdi S,Andersson J,Smith S,Glasser MF,Van Essen DC,Burgess G,Harms MP,Barch DM,Jenkinson M|Jenkinson M,Beckmann CF,Behrens TEJ,Woolrich MW,Smith SM|Zamboni G,Wilcock GK,Douaud G,Drazich E,McCulloch E,Filippini N,Tracey I,Brooks JCW,Smith SM,Jenkinson M,MacKay CE|Smith SM,Beckmann CF,Jenkinson M,Miller KL,Robinson EC,Salimi-Khorshidi G,Woolrich MW,Vidaurre D,Glasser MF,Barch DM,Van Essen DC,Nichols TE,Uǧurbil K|Smith SM,Miller KL,Moeller S,Xu J,Auerbach EJ,Woolrich MW,Beckmann CF,Jenkinson M,Andersson J,Glasser MF,Van Essen DC,Feinberg DA,Yacoubb ES,Ugurbil K|Robinson EC,Jbabdi S,Glasser MF,Andersson J,Burgess GC,Harms MP,Smith SM,Van Essen DC,Jenkinson M|Smith SM,Miller KL,Moeller S,Xu J,Auerbach EJ,Woolrich MW,Beckmann CF,Jenkinson M,Andersson J,Glasser MF,Van Essen DC,Feinberg DA,Yacoub ES,Ugurbil K|Mennes M,Jenkinson M,Valabregue R,Buitelaar JK,Beckmann C,Smith S|Patenaude B,Smith SM,Kennedy DN,Jenkinson M|Smith SM,Vidaurre D,Beckmann CF,Glasser MF,Jenkinson M,Miller KL,Nichols TE,Robinson EC,Salimi-Khorshidi G,Woolrich MW,Barch DM,Uǧurbil K,Van Essen DC|Smith SM,Miller KL,Moeller S,Xu J,Auerbach EJ,Woolrich MW,Beckmann CF,Jenkinson M,Andersson J,Glasser MF,Van Essen DC,Feinberg DA,Yacoubb ES,Ugurbil K|Filippini N,Zsoldos E,Haapakoski R,Sexton CE,Mahmood A,Allan CL,Topiwala A,Valkanova V,Brunner EJ,Shipley MJ,Auerbach E,Moeller S,Uğurbil K,Xu J,Yacoub E,Andersson J,Bijsterbosch J,Clare S,Griffanti L,Hess AT,Jenkinson M,Miller KL,Salimi-Khorshidi G,Sotiropoulos SN,Voets NL,Smith SM,Geddes JR,Singh-Manoux A,Mackay CE,Kivimäki M,Ebmeier KP|Harrison SJ,Woolrich MW,Robinson EC,Glasser MF,Beckmann CF,Jenkinson M,Smith SM|Miller KL,Stagg CJ,Douaud G,Jbabdi S,Smith SM,Behrens TE,Jenkinson M,Chance SA,Esiri MM,Voets NL,Jenkinson N,Aziz TZ,Turner MR,Johansen-Berg H,McNab JA","Brain,Humans,Magnetic Resonance Imaging,Diffusion Magnetic Resonance Imaging,Demography,Adolescent,Adult,Aged,80 and over,Middle Aged,Child,Preschool,Female,Male,Young Adult,Neuroimaging||||||Cerebral Cortex,Humans,Magnetic Resonance Imaging,Brain Mapping,Data Interpretation,Statistical,Image Processing,Computer-Assisted,Adult,Young Adult|Adult,Brain,Brain Mapping,Cognition,Gyrus Cinguli,Humans,Magnetic Resonance Imaging,Motor Activity,Nerve Net,Reproducibility of Results,Time Factors,Visual Pathways||Adolescent,Adult,Aged,Algorithms,Artificial Intelligence,Bayes Theorem,Brain,Female,Humans,Image Processing,Computer-Assisted,Linear Models,Magnetic Resonance Imaging,Male,Middle Aged,Models,Neurological,Statistical,Reproducibility of Results,Thalamus,Young Adult|||Brain,Humans,Magnetic Resonance Imaging,Retrospective Studies,Longitudinal Studies,Cognition,Cognition Disorders,Aging,Adult,Aged,80 and over,Middle Aged,Female,Male,Neuroimaging|Brain,Humans,Magnetic Resonance Imaging,Probability,Computer Simulation,Image Processing,Computer-Assisted,Signal Processing,Connectome|Anisotropy,Artifacts,Autopsy,Brain,Brain Mapping,Diffusion Magnetic Resonance Imaging,Humans,Image Interpretation,Computer-Assisted,Tissue Fixation"
